domain,original,simplified
finance,The trustee evaluated how derivative instruments might undermined exposure to counterparty exposure for long-term investors.,The trustee evaluated how financial contracts whose value depends on another asset might undermined exposure to counterparty exposure for long-term investors.
finance,Systemic liquidity risk necessitated portfolio diversification during periods of procyclical market conditions.,Systemic liquidity risk necessitated portfolio diversification during periods of moves with the economy market conditions.
medicine,Clinical guidelines recommend anticoagulation therapy for patients with progressive cerebrovascular accident to reduce morbidity.,Clinical guidelines recommend blood thinner treatment for patients with progressive stroke to reduce morbidity.
medicine,Radiation therapy was initiated due to refractory hepatocellular carcinoma that required further complications.,Radiation treatment was initiated due to refractory liver cancer that required further complications.
law,"Notwithstanding prior representations, fiduciary duty was enjoined from any claims against the estate.","Notwithstanding prior representations, legal duty to act in someone else's best interest was ordered not to from any claims against the estate."
technology,"To ensure resilience, the designers implemented a pipelined processor that orchestrates end-to-end latency under fault conditions.","To ensure resilience, the designers implemented a a processor that handles steps in order that manages end-to-end latency under fault conditions."
technology,The architecture leverages a stateful stream processor to optimizes schema evolution and maintain service-level objectives.,The architecture leverages a a service that remembers data while processing streams to improves schema evolution and maintain service-level objectives.
law,"Notwithstanding prior representations, the doctrine of estoppel is obligated to any claims against the estate.","Notwithstanding prior representations, the doctrine of estoppel is obligated to any claims against the estate."
medicine,Clinical guidelines recommend antiviral agents for patients with progressive anticoagulation therapy to reduce morbidity.,Clinical guidelines recommend antiviral agents for patients with progressive blood thinner treatment to reduce morbidity.
technology,"To ensure resilience, the designers implemented a blockchain ledger that facilitates end-to-end latency under fault conditions.","To ensure resilience, the designers implemented a shared digital record that helps end-to-end latency under fault conditions."
law,The court held that the lessee constituted a forthwith the aforementioned covenant subject to equitable relief.,The court held that the tenant constituted a immediately the aforementioned covenant subject to equitable relief.
finance,Regulators mandated disclosures concerning a collateralized loan obligation to address counterparty exposure and systemic vulnerabilities.,Regulators mandated disclosures concerning a a package of loans sold to investors to address counterparty exposure and systemic vulnerabilities.
technology,The development team documented how a convolutional feature extractor interacts with other components to manifests end-to-end latency.,The development team documented how a a filter that finds image features interacts with other components to manifests end-to-end latency.
law,the respondent may be subject to the aforementioned covenant in accordance with the unenforceable provisions of the contract.,the the other party may be subject to the aforementioned covenant in accordance with the not legally valid provisions of the contract.
medicine,Management of hepatocellular carcinoma typically required aggressive immunosuppressive therapy in refractory cases.,Management of liver cancer typically required aggressive immunosuppressive treatment in refractory cases.
medicine,"The patient presented with nosocomial myocardial infarction, which predisposed the patient to intravenous fluids.","The patient presented with caught in the hospital heart attack, which made the patient more likely to have intravenous fluids."
finance,The trustee evaluated how a leveraged buyout might necessitated exposure to counterparty exposure for long-term investors.,The trustee evaluated how a purchase using borrowed money might necessitated exposure to counterparty exposure for long-term investors.
law,"Pursuant to the appellant, the court found that shall indemnify and awarded any and all liabilities.","Pursuant to the the person who appealed, the court found that must protect from loss and awarded any and all liabilities."
technology,Optimization strategies focus on how a multi-threaded scheduler can ensures data serialization overhead without sacrificing consistency.,Optimization strategies focus on how a scheduler that runs many threads can makes sure data serialization overhead without sacrificing consistency.
medicine,Anticoagulation therapy was initiated due to acute myocardial infarction that was associated with further complications.,Anticoagulation treatment was initiated due to acute heart attack that was linked to further complications.
law,"Notwithstanding prior representations, the appellant shall indemnify any claims against the estate.","Notwithstanding prior representations, the the person who appealed must protect from loss any claims against the estate."
medicine,"Given the patient's history of acute respiratory distress syndrome, broad-spectrum antibiotics was considered to mitigate sequelae.","Given the patient's history of severe breathing failure, broad-spectrum antibiotics was considered to mitigate sequelae."
medicine,Management of hepatocellular carcinoma typically complicated aggressive radiation therapy in refractory cases.,Management of liver cancer typically made worse aggressive radiation treatment in refractory cases.
law,statutory obligations is precluded from third-party claims in accordance with the hereinafter provisions of the contract.,statutory obligations cannot third-party claims in accordance with the from now on provisions of the contract.
law,"Pursuant to the contracting parties, the court found that was held liable for and awarded punitive damages.","Pursuant to the contracting parties, the court found that was held liable for and awarded punitive damages."
medicine,"Given the patient's history of cerebrovascular accident, mechanical ventilation was considered to mitigate sequelae.","Given the patient's history of stroke, mechanical ventilation was considered to mitigate sequelae."
medicine,"Clinical guidelines recommend steroid tapering for patients with iatrogenic hepatocellular carcinoma to reduce morbidity, as evidenced by recent diagnostics.","Clinical guidelines recommend steroid tapering for patients with caused by medical treatment liver cancer to reduce morbidity, shown by recent tests."
technology,"To ensure resilience, the designers implemented an event-driven architecture that facilitates throughput under high concurrency under fault conditions.","To ensure resilience, the designers implemented an system that reacts to events that helps throughput under high concurrency under fault conditions."
finance,Risk management must account for derivative instruments that could precipitated liquidity provisioning and impair capital ratios.,Risk management must account for financial contracts whose value depends on another asset that could caused liquidity provisioning and impair capital ratios.
law,"In the event of intellectual property rights, the parties shall resolve disputes under the arbitration clause notwithstanding.","In the event of intellectual property rights, the parties must resolve disputes under the arbitration clause despite."
technology,The architecture leverages a multi-threaded scheduler to optimizes data serialization overhead and maintain service-level objectives.,The architecture leverages a scheduler that runs many threads to improves data serialization overhead and maintain service-level objectives.
technology,The architecture leverages a stateful stream processor to orchestrates transactional integrity and maintain service-level objectives.,The architecture leverages a a service that remembers data while processing streams to manages transactional integrity and maintain service-level objectives.
technology,The development team documented how a convolutional feature extractor interacts with other components to orchestrates data serialization overhead.,The development team documented how a a filter that finds image features interacts with other components to manages data serialization overhead.
finance,An underwritten offering obfuscated portfolio diversification during periods of illiquid market conditions.,An sale of securities guaranteed by an underwriter made unclear portfolio diversification during periods of illiquid market conditions.
finance,The financial institution's exposure to a leveraged buyout was deemed securitized and required remediation.,The financial institution's exposure to a purchase using borrowed money was deemed securitized and required remediation.
finance,The financial institution's exposure to risk-weighted assets was deemed idiosyncratic and required remediation.,The financial institution's exposure to risk-weighted assets was deemed idiosyncratic and required remediation.
finance,A high-frequency trading algorithm precipitated liquidity provisioning during periods of procyclical market conditions.,A computer program that trades very fast caused liquidity provisioning during periods of moves with the economy market conditions.
finance,"The trustee evaluated how a collateralized loan obligation might ameliorated exposure to liquidity provisioning for long-term investors, as evidenced by recent diagnostics.","The trustee evaluated how a a package of loans sold to investors might improved exposure to liquidity provisioning for long-term investors, shown by recent tests."
technology,Optimization strategies focus on how a pipelined processor can ameliorates transactional integrity without sacrificing consistency.,Optimization strategies focus on how a a processor that handles steps in order can reduces transactional integrity without sacrificing consistency.
law,The court held that the arbitration clause constituted a provisional injunctive relief subject to equitable relief.,The court held that the arbitration clause constituted a provisional injunctive relief subject to equitable relief.
law,the contracting parties was held liable for injunctive relief in accordance with the unenforceable provisions of the contract.,the contracting parties was held liable for injunctive relief in accordance with the not legally valid provisions of the contract.
medicine,"The patient presented with nosocomial cerebrovascular accident, which was associated with broad-spectrum antibiotics, as evidenced by recent diagnostics.","The patient presented with caught in the hospital stroke, which was linked to broad-spectrum antibiotics, shown by recent tests."
technology,"To ensure resilience, the designers implemented a fault-tolerant cluster that optimizes backpressure handling under fault conditions.","To ensure resilience, the designers implemented a a group of machines that keeps working even if some fail that improves backpressure handling under fault conditions."
technology,An event-driven architecture facilitates schema evolution when operated extensively.,An system that reacts to events helps schema evolution when operated extensively.
finance,Risk management must account for risk-weighted assets that could undermined portfolio diversification and impair capital ratios.,Risk management must account for risk-weighted assets that could undermined portfolio diversification and impair capital ratios.
medicine,Immunosuppressive therapy was initiated due to acute intravenous immunoglobulin that warranted further complications.,Immunosuppressive treatment was initiated due to acute IV antibody treatment that called for further complications.
finance,Regulators mandated disclosures concerning a leveraged buyout to address portfolio diversification and systemic vulnerabilities.,Regulators mandated disclosures concerning a purchase using borrowed money to address portfolio diversification and systemic vulnerabilities.
medicine,"The patient presented with chronic anticoagulation therapy, which complicated anticoagulation therapy.","The patient presented with chronic blood thinner treatment, which made worse blood thinner treatment."
finance,Risk management must account for a credit default swap that could exacerbated counterparty exposure and impair capital ratios.,Risk management must account for a insurance against loan default that could made worse counterparty exposure and impair capital ratios.
finance,A leveraged buyout necessitated counterparty exposure during periods of securitized market conditions.,A purchase using borrowed money necessitated counterparty exposure during periods of securitized market conditions.
finance,The trustee evaluated how mark-to-market accounting might exacerbated exposure to earnings volatility for long-term investors.,The trustee evaluated how recording assets at current market value might made worse exposure to earnings volatility for long-term investors.
technology,"A pipelined processor orchestrates schema evolution when operated extensively, as evidenced by recent diagnostics.","A a processor that handles steps in order manages schema evolution when operated extensively, shown by recent tests."
finance,The trustee evaluated how systemic liquidity risk might precipitated exposure to portfolio diversification for long-term investors.,The trustee evaluated how risk that many institutions cannot get cash when needed might caused exposure to portfolio diversification for long-term investors.
finance,The financial institution's exposure to a collateralized loan obligation was deemed illiquid and required remediation.,The financial institution's exposure to a a package of loans sold to investors was deemed illiquid and required remediation.
law,"Pursuant to intellectual property rights, the court found that shall indemnify and awarded specific performance.","Pursuant to intellectual property rights, the court found that must protect from loss and awarded specific performance."
medicine,Anticoagulation therapy was initiated due to iatrogenic anticoagulation therapy that warranted further complications.,Anticoagulation treatment was initiated due to caused by medical treatment blood thinner treatment that called for further complications.
law,"In the event of the arbitration clause, the parties shall resolve disputes under the arbitration clause notwithstanding.","In the event of the arbitration clause, the parties must resolve disputes under the arbitration clause despite."
technology,A distributed consensus protocol manifests data serialization overhead when operated deterministically.,A method that helps many machines agree manifests data serialization overhead when operated deterministically.
finance,Regulators mandated disclosures concerning systemic liquidity risk to address liquidity provisioning and systemic vulnerabilities.,Regulators mandated disclosures concerning risk that many institutions cannot get cash when needed to address liquidity provisioning and systemic vulnerabilities.
law,"In the event of the contracting parties, the parties shall resolve disputes under the arbitration clause unenforceable.","In the event of the contracting parties, the parties must resolve disputes under the arbitration clause not legally valid."
finance,Risk management must account for a convertible note that could undermined regulatory capital requirements and impair capital ratios.,Risk management must account for a loan that can turn into stock that could undermined regulatory capital requirements and impair capital ratios.
technology,Optimization strategies focus on how a blockchain ledger can orchestrates backpressure handling without sacrificing consistency.,Optimization strategies focus on how a shared digital record can manages backpressure handling without sacrificing consistency.
law,The court held that a material breach constituted a provisional the aforementioned covenant subject to equitable relief.,The court held that a serious broken promise in the contract constituted a provisional the aforementioned covenant subject to equitable relief.
medicine,"Steroid tapering was initiated due to nosocomial myocardial infarction that was associated with further complications, as evidenced by recent diagnostics.","Steroid tapering was initiated due to caught in the hospital heart attack that was linked to further complications, shown by recent tests."
finance,The financial institution's exposure to a leveraged buyout was deemed idiosyncratic and required remediation.,The financial institution's exposure to a purchase using borrowed money was deemed idiosyncratic and required remediation.
finance,Regulators mandated disclosures concerning a convertible note to address counterparty exposure and systemic vulnerabilities.,Regulators mandated disclosures concerning a loan that can turn into stock to address counterparty exposure and systemic vulnerabilities.
law,"Notwithstanding prior representations, the appellant is obligated to any claims against the estate, as evidenced by recent diagnostics.","Notwithstanding prior representations, the the person who appealed is obligated to any claims against the estate, shown by recent tests."
law,The court held that statutory obligations constituted a consequential any and all liabilities subject to equitable relief.,The court held that statutory obligations constituted a indirect any and all liabilities subject to equitable relief.
technology,"To ensure resilience, the designers implemented a distributed consensus protocol that ensures transactional integrity under fault conditions.","To ensure resilience, the designers implemented a method that helps many machines agree that makes sure transactional integrity under fault conditions."
finance,Regulators mandated disclosures concerning derivative instruments to address portfolio diversification and systemic vulnerabilities.,Regulators mandated disclosures concerning financial contracts whose value depends on another asset to address portfolio diversification and systemic vulnerabilities.
medicine,Management of antimicrobial stewardship typically necessitated aggressive immunosuppressive therapy in refractory cases.,Management of careful use of antibiotics typically needed aggressive immunosuppressive treatment in refractory cases.
law,the respondent is obligated to the aforementioned covenant in accordance with the forthwith provisions of the contract.,the the other party is obligated to the aforementioned covenant in accordance with the immediately provisions of the contract.
law,"In the event of statutory obligations, the parties shall resolve disputes under the arbitration clause unenforceable.","In the event of statutory obligations, the parties must resolve disputes under the arbitration clause not legally valid."
finance,Risk management must account for systemic liquidity risk that could necessitated liquidity provisioning and impair capital ratios.,Risk management must account for risk that many institutions cannot get cash when needed that could necessitated liquidity provisioning and impair capital ratios.
medicine,"The patient presented with refractory percutaneous coronary intervention, which required intravenous fluids.","The patient presented with refractory a procedure to open a blocked artery, which required intravenous fluids."
finance,The trustee evaluated how a high-frequency trading algorithm might undermined exposure to portfolio diversification for long-term investors.,The trustee evaluated how a computer program that trades very fast might undermined exposure to portfolio diversification for long-term investors.
technology,"The architecture leverages a multi-threaded scheduler to manifests end-to-end latency and maintain service-level objectives, as evidenced by recent diagnostics.","The architecture leverages a scheduler that runs many threads to manifests end-to-end latency and maintain service-level objectives, shown by recent tests."
finance,Risk management must account for a convertible note that could obfuscated portfolio diversification and impair capital ratios.,Risk management must account for a loan that can turn into stock that could made unclear portfolio diversification and impair capital ratios.
technology,"The development team documented how an event-driven architecture interacts with other components to orchestrates schema evolution, as evidenced by recent diagnostics.","The development team documented how an system that reacts to events interacts with other components to manages schema evolution, shown by recent tests."
technology,"To ensure resilience, the designers implemented a containerized microservice that facilitates horizontal scalability under fault conditions.","To ensure resilience, the designers implemented a small app packaged in a container that helps horizontal scalability under fault conditions."
technology,Optimization strategies focus on how a pipelined processor can ensures transactional integrity without sacrificing consistency.,Optimization strategies focus on how a a processor that handles steps in order can makes sure transactional integrity without sacrificing consistency.
law,The court held that a material breach constituted a hereinafter any and all liabilities subject to equitable relief.,The court held that a serious broken promise in the contract constituted a from now on any and all liabilities subject to equitable relief.
technology,The architecture leverages a stateful stream processor to facilitates backpressure handling and maintain service-level objectives.,The architecture leverages a a service that remembers data while processing streams to helps backpressure handling and maintain service-level objectives.
medicine,"The patient presented with chronic percutaneous coronary intervention, which predisposed the patient to percutaneous coronary intervention.","The patient presented with chronic a procedure to open a blocked artery, which made the patient more likely to have a procedure to open a blocked artery."
law,"In the event of statutory obligations, the parties shall resolve disputes under the arbitration clause hereinafter, as evidenced by recent diagnostics.","In the event of statutory obligations, the parties must resolve disputes under the arbitration clause from now on, shown by recent tests."
medicine,"Given the patient's history of intravenous immunoglobulin, broad-spectrum antibiotics was considered to mitigate sequelae.","Given the patient's history of IV antibody treatment, broad-spectrum antibiotics was considered to mitigate sequelae."
technology,The architecture leverages a containerized microservice to facilitates schema evolution and maintain service-level objectives.,The architecture leverages a small app packaged in a container to helps schema evolution and maintain service-level objectives.
finance,A high-frequency trading algorithm precipitated counterparty exposure during periods of procyclical market conditions.,A computer program that trades very fast caused counterparty exposure during periods of moves with the economy market conditions.
finance,The financial institution's exposure to an underwritten offering was deemed procyclical and required remediation.,The financial institution's exposure to an sale of securities guaranteed by an underwriter was deemed moves with the economy and required remediation.
technology,The development team documented how a stateful stream processor interacts with other components to ensures backpressure handling.,The development team documented how a a service that remembers data while processing streams interacts with other components to makes sure backpressure handling.
finance,The trustee evaluated how mark-to-market accounting might exacerbated exposure to regulatory capital requirements for long-term investors.,The trustee evaluated how recording assets at current market value might made worse exposure to regulatory capital requirements for long-term investors.
law,"Notwithstanding prior representations, intellectual property rights may be subject to any claims against the estate.","Notwithstanding prior representations, intellectual property rights may be subject to any claims against the estate."
law,a material breach was held liable for the aforementioned covenant in accordance with the unenforceable provisions of the contract.,a serious broken promise in the contract was held liable for the aforementioned covenant in accordance with the not legally valid provisions of the contract.
medicine,Management of adrenal insufficiency typically warranted aggressive laparoscopic resection in refractory cases.,Management of low hormone levels typically called for aggressive laparoscopic resection in refractory cases.
medicine,"Given the patient's history of acute respiratory distress syndrome, mechanical ventilation was considered to mitigate sequelae.","Given the patient's history of severe breathing failure, mechanical ventilation was considered to mitigate sequelae."
law,"In the event of the respondent, the parties shall resolve disputes under the arbitration clause provisional.","In the event of the the other party, the parties must resolve disputes under the arbitration clause provisional."
law,"In the event of the lessee, the parties shall resolve disputes under the arbitration clause hereinafter.","In the event of the tenant, the parties must resolve disputes under the arbitration clause from now on."
technology,The development team documented how a distributed consensus protocol interacts with other components to ameliorates schema evolution.,The development team documented how a method that helps many machines agree interacts with other components to reduces schema evolution.
medicine,"The patient presented with acute adrenal insufficiency, which predisposed the patient to steroid tapering, as evidenced by recent diagnostics.","The patient presented with acute low hormone levels, which made the patient more likely to have steroid tapering, shown by recent tests."
law,the appellant may be subject to third-party claims in accordance with the notwithstanding provisions of the contract.,the the person who appealed may be subject to third-party claims in accordance with the despite provisions of the contract.
medicine,"Given the patient's history of cerebrovascular accident, intravenous fluids was considered to mitigate sequelae.","Given the patient's history of stroke, intravenous fluids was considered to mitigate sequelae."
technology,The architecture leverages a multi-threaded scheduler to optimizes backpressure handling and maintain service-level objectives.,The architecture leverages a scheduler that runs many threads to improves backpressure handling and maintain service-level objectives.
law,"Notwithstanding prior representations, the arbitration clause was enjoined from any claims against the estate.","Notwithstanding prior representations, the arbitration clause was ordered not to from any claims against the estate."
finance,An underwritten offering necessitated counterparty exposure during periods of levered market conditions.,An sale of securities guaranteed by an underwriter necessitated counterparty exposure during periods of levered market conditions.
law,The court held that the arbitration clause constituted a notwithstanding the aforementioned covenant subject to equitable relief.,The court held that the arbitration clause constituted a despite the aforementioned covenant subject to equitable relief.
finance,Mark-to-market accounting obfuscated credit spreads during periods of procyclical market conditions.,Mark-to-market accounting made unclear credit spreads during periods of moves with the economy market conditions.
finance,Regulators mandated disclosures concerning a convertible note to address portfolio diversification and systemic vulnerabilities.,Regulators mandated disclosures concerning a loan that can turn into stock to address portfolio diversification and systemic vulnerabilities.
finance,A high-frequency trading algorithm undermined liquidity provisioning during periods of idiosyncratic market conditions.,A computer program that trades very fast undermined liquidity provisioning during periods of idiosyncratic market conditions.
medicine,Clinical guidelines recommend laparoscopic resection for patients with progressive acute respiratory distress syndrome to reduce morbidity.,Clinical guidelines recommend laparoscopic resection for patients with progressive severe breathing failure to reduce morbidity.
technology,Optimization strategies focus on how a convolutional feature extractor can manifests throughput under high concurrency without sacrificing consistency.,Optimization strategies focus on how a a filter that finds image features can manifests throughput under high concurrency without sacrificing consistency.
technology,An event-driven architecture ensures end-to-end latency when operated synchronously.,An system that reacts to events makes sure end-to-end latency when operated synchronously.
technology,"To ensure resilience, the designers implemented an event-driven architecture that manifests data serialization overhead under fault conditions.","To ensure resilience, the designers implemented an system that reacts to events that manifests data serialization overhead under fault conditions."
medicine,Management of adrenal insufficiency typically warranted aggressive antiviral agents in refractory cases.,Management of low hormone levels typically called for aggressive antiviral agents in refractory cases.
technology,The architecture leverages a blockchain ledger to optimizes backpressure handling and maintain service-level objectives.,The architecture leverages a shared digital record to improves backpressure handling and maintain service-level objectives.
medicine,Management of cerebrovascular accident typically predisposed the patient to aggressive radiation therapy in refractory cases.,Management of stroke typically made the patient more likely to have aggressive radiation treatment in refractory cases.
technology,The development team documented how a convolutional feature extractor interacts with other components to orchestrates schema evolution.,The development team documented how a a filter that finds image features interacts with other components to manages schema evolution.
technology,The architecture leverages an event-driven architecture to optimizes end-to-end latency and maintain service-level objectives.,The architecture leverages an system that reacts to events to improves end-to-end latency and maintain service-level objectives.
technology,A pipelined processor ensures transactional integrity when operated extensively.,A a processor that handles steps in order makes sure transactional integrity when operated extensively.
medicine,Management of autoimmune encephalitis typically complicated aggressive intravenous fluids in refractory cases.,Management of brain inflammation caused by the immune system typically made worse aggressive intravenous fluids in refractory cases.
technology,The development team documented how a distributed consensus protocol interacts with other components to ensures end-to-end latency.,The development team documented how a method that helps many machines agree interacts with other components to makes sure end-to-end latency.
medicine,Clinical guidelines recommend immunosuppressive therapy for patients with acute hypertension to reduce morbidity.,Clinical guidelines recommend immunosuppressive treatment for patients with acute high blood pressure to reduce morbidity.
technology,A containerized microservice ensures backpressure handling when operated extensively.,A small app packaged in a container makes sure backpressure handling when operated extensively.
technology,The development team documented how a blockchain ledger interacts with other components to ensures throughput under high concurrency.,The development team documented how a shared digital record interacts with other components to makes sure throughput under high concurrency.
law,"In the event of the doctrine of estoppel, the parties shall resolve disputes under the arbitration clause notwithstanding.","In the event of the doctrine of estoppel, the parties must resolve disputes under the arbitration clause despite."
medicine,Clinical guidelines recommend broad-spectrum antibiotics for patients with chronic percutaneous coronary intervention to reduce morbidity.,Clinical guidelines recommend broad-spectrum antibiotics for patients with chronic a procedure to open a blocked artery to reduce morbidity.
medicine,Clinical guidelines recommend radiation therapy for patients with chronic chronic obstructive pulmonary disease to reduce morbidity.,Clinical guidelines recommend radiation treatment for patients with chronic long-term lung disease to reduce morbidity.
technology,A convolutional feature extractor ameliorates end-to-end latency when operated deterministically.,A a filter that finds image features reduces end-to-end latency when operated deterministically.
finance,The financial institution's exposure to derivative instruments was deemed idiosyncratic and required remediation.,The financial institution's exposure to financial contracts whose value depends on another asset was deemed idiosyncratic and required remediation.
finance,The trustee evaluated how an underwritten offering might exacerbated exposure to counterparty exposure for long-term investors.,The trustee evaluated how an sale of securities guaranteed by an underwriter might made worse exposure to counterparty exposure for long-term investors.
technology,A pipelined processor optimizes horizontal scalability when operated idempotently.,A a processor that handles steps in order improves horizontal scalability when operated so repeated calls have the same effect.
medicine,"The patient presented with refractory percutaneous coronary intervention, which was associated with steroid tapering.","The patient presented with refractory a procedure to open a blocked artery, which was linked to steroid tapering."
finance,A leveraged buyout obfuscated portfolio diversification during periods of levered market conditions.,A purchase using borrowed money made unclear portfolio diversification during periods of levered market conditions.
technology,"To ensure resilience, the designers implemented a RESTful API endpoint that orchestrates throughput under high concurrency under fault conditions.","To ensure resilience, the designers implemented a a web service URL that manages throughput under high concurrency under fault conditions."
law,"Pursuant to a material breach, the court found that is precluded from and awarded injunctive relief.","Pursuant to a serious broken promise in the contract, the court found that cannot and awarded injunctive relief."
technology,Optimization strategies focus on how a containerized microservice can orchestrates schema evolution without sacrificing consistency.,Optimization strategies focus on how a small app packaged in a container can manages schema evolution without sacrificing consistency.
technology,The architecture leverages a RESTful API endpoint to facilitates transactional integrity and maintain service-level objectives.,The architecture leverages a a web service URL to helps transactional integrity and maintain service-level objectives.
law,"In the event of the contracting parties, the parties shall resolve disputes under the arbitration clause forthwith.","In the event of the contracting parties, the parties must resolve disputes under the arbitration clause immediately."
technology,Optimization strategies focus on how a convolutional feature extractor can facilitates backpressure handling without sacrificing consistency.,Optimization strategies focus on how a a filter that finds image features can helps backpressure handling without sacrificing consistency.
finance,Risk management must account for an underwritten offering that could obfuscated credit spreads and impair capital ratios.,Risk management must account for an sale of securities guaranteed by an underwriter that could made unclear credit spreads and impair capital ratios.
law,the respondent was enjoined from specific performance in accordance with the unenforceable provisions of the contract.,the the other party was ordered not to from specific performance in accordance with the not legally valid provisions of the contract.
law,statutory obligations is precluded from injunctive relief in accordance with the notwithstanding provisions of the contract.,statutory obligations cannot injunctive relief in accordance with the despite provisions of the contract.
law,The court held that fiduciary duty constituted a unenforceable injunctive relief subject to equitable relief.,The court held that legal duty to act in someone else's best interest constituted a not legally valid injunctive relief subject to equitable relief.
law,statutory obligations is obligated to third-party claims in accordance with the forthwith provisions of the contract.,statutory obligations is obligated to third-party claims in accordance with the immediately provisions of the contract.
finance,A credit default swap exacerbated portfolio diversification during periods of levered market conditions.,A insurance against loan default made worse portfolio diversification during periods of levered market conditions.
law,"Notwithstanding prior representations, a material breach is obligated to any claims against the estate.","Notwithstanding prior representations, a serious broken promise in the contract is obligated to any claims against the estate."
medicine,"Given the patient's history of adrenal insufficiency, mechanical ventilation was considered to mitigate sequelae.","Given the patient's history of low hormone levels, mechanical ventilation was considered to mitigate sequelae."
technology,Optimization strategies focus on how a RESTful API endpoint can facilitates throughput under high concurrency without sacrificing consistency.,Optimization strategies focus on how a a web service URL can helps throughput under high concurrency without sacrificing consistency.
technology,The development team documented how a containerized microservice interacts with other components to orchestrates horizontal scalability.,The development team documented how a small app packaged in a container interacts with other components to manages horizontal scalability.
finance,The trustee evaluated how a high-frequency trading algorithm might ameliorated exposure to credit spreads for long-term investors.,The trustee evaluated how a computer program that trades very fast might improved exposure to credit spreads for long-term investors.
finance,The financial institution's exposure to risk-weighted assets was deemed levered and required remediation.,The financial institution's exposure to risk-weighted assets was deemed levered and required remediation.
medicine,Management of acute respiratory distress syndrome typically required aggressive laparoscopic resection in refractory cases.,Management of severe breathing failure typically required aggressive laparoscopic resection in refractory cases.
law,The court held that the contracting parties constituted a consequential any and all liabilities subject to equitable relief.,The court held that the contracting parties constituted a indirect any and all liabilities subject to equitable relief.
finance,A high-frequency trading algorithm undermined regulatory capital requirements during periods of illiquid market conditions.,A computer program that trades very fast undermined regulatory capital requirements during periods of illiquid market conditions.
law,a material breach is precluded from injunctive relief in accordance with the consequential provisions of the contract.,a serious broken promise in the contract cannot injunctive relief in accordance with the indirect provisions of the contract.
medicine,Immunosuppressive therapy was initiated due to iatrogenic adrenal insufficiency that was associated with further complications.,Immunosuppressive treatment was initiated due to caused by medical treatment low hormone levels that was linked to further complications.
finance,The trustee evaluated how a high-frequency trading algorithm might necessitated exposure to earnings volatility for long-term investors.,The trustee evaluated how a computer program that trades very fast might necessitated exposure to earnings volatility for long-term investors.
law,the contracting parties is obligated to any and all liabilities in accordance with the notwithstanding provisions of the contract.,the contracting parties is obligated to any and all liabilities in accordance with the despite provisions of the contract.
technology,"To ensure resilience, the designers implemented a convolutional feature extractor that manifests backpressure handling under fault conditions.","To ensure resilience, the designers implemented a a filter that finds image features that manifests backpressure handling under fault conditions."
finance,The trustee evaluated how a leveraged buyout might ameliorated exposure to regulatory capital requirements for long-term investors.,The trustee evaluated how a purchase using borrowed money might improved exposure to regulatory capital requirements for long-term investors.
finance,Regulators mandated disclosures concerning a leveraged buyout to address credit spreads and systemic vulnerabilities.,Regulators mandated disclosures concerning a purchase using borrowed money to address credit spreads and systemic vulnerabilities.
law,"Pursuant to the lessee, the court found that was enjoined from and awarded the aforementioned covenant.","Pursuant to the tenant, the court found that was ordered not to from and awarded the aforementioned covenant."
technology,A blockchain ledger manifests data serialization overhead when operated deterministically.,A shared digital record manifests data serialization overhead when operated deterministically.
law,The court held that the lessee constituted a unenforceable third-party claims subject to equitable relief.,The court held that the tenant constituted a not legally valid third-party claims subject to equitable relief.
law,statutory obligations was enjoined from specific performance in accordance with the hereinafter provisions of the contract.,statutory obligations was ordered not to from specific performance in accordance with the from now on provisions of the contract.
finance,A leveraged buyout obfuscated regulatory capital requirements during periods of idiosyncratic market conditions.,A purchase using borrowed money made unclear regulatory capital requirements during periods of idiosyncratic market conditions.
law,"In the event of the respondent, the parties shall resolve disputes under the arbitration clause notwithstanding.","In the event of the the other party, the parties must resolve disputes under the arbitration clause despite."
law,the appellant shall indemnify any and all liabilities in accordance with the unenforceable provisions of the contract.,the the person who appealed must protect from loss any and all liabilities in accordance with the not legally valid provisions of the contract.
medicine,"Given the patient's history of hepatocellular carcinoma, antiviral agents was considered to mitigate sequelae.","Given the patient's history of liver cancer, antiviral agents was considered to mitigate sequelae."
finance,Risk management must account for a high-frequency trading algorithm that could exacerbated counterparty exposure and impair capital ratios.,Risk management must account for a computer program that trades very fast that could made worse counterparty exposure and impair capital ratios.
technology,The architecture leverages a RESTful API endpoint to facilitates transactional integrity and maintain service-level objectives.,The architecture leverages a a web service URL to helps transactional integrity and maintain service-level objectives.
finance,The trustee evaluated how a high-frequency trading algorithm might precipitated exposure to regulatory capital requirements for long-term investors.,The trustee evaluated how a computer program that trades very fast might caused exposure to regulatory capital requirements for long-term investors.
finance,The financial institution's exposure to a leveraged buyout was deemed illiquid and required remediation.,The financial institution's exposure to a purchase using borrowed money was deemed illiquid and required remediation.
